[2025-11-28 23:20:00] [INFO    ] discord.client: logging in using static token
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '605128321138819073', 'username': 'WerewolfBot', 'avatar': None, 'discriminator': '0047', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-28 23:20:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '605128321138819073', 'name': 'Werewolf Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '605128321138819073', 'username': 'WerewolfBot', 'avatar': None, 'discriminator': '0047', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': 'e1ca03ff05c93ef37b04138b61452727ac0c683d4b9494dd640c3101f5c17564', 'flags': 524288, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '269530801182343185', 'username': 'fivetd', 'avatar': 'a_694e4f59be0ac15dd8836f7514676bb8', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '263dc67574b61f68aa24f8600991d1fd', 'accent_color': 12146966, 'global_name': 'Five', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 3, 'effect_id': 5, 'colors': [12934144]}, 'banner_color': '#b95916', 'clan': {'identity_guild_id': '569683781800296501', 'identity_enabled': True, 'tag': 'BOTC', 'badge': 'cc04d88bce47f30d93b756b7ad949e45'}, 'primary_guild': {'identity_guild_id': '569683781800296501', 'identity_enabled': True, 'tag': 'BOTC', 'badge': 'cc04d88bce47f30d93b756b7ad949e45'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2240, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-28 23:20:00] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/605128321138819073/guilds/1444194038084403345/commands with [{"name":"ping","description":"Responds with Pong!","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"echo","description":"Echoes your message","type":1,"options":[{"type":3,"name":"message","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-11-28 23:20:00] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-11-28 23:20:00] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/605128321138819073/guilds/1444194038084403345/commands has received [{'id': '1444211273540698133', 'application_id': '605128321138819073', 'version': '1444211273540698135', 'default_member_permissions': None, 'type': 1, 'name': 'ping', 'name_localizations': None, 'description': 'Responds with Pong!', 'description_localizations': None, 'guild_id': '1444194038084403345', 'nsfw': False}, {'id': '1444211273540698134', 'application_id': '605128321138819073', 'version': '1444211273540698136', 'default_member_permissions': None, 'type': 1, 'name': 'echo', 'name_localizations': None, 'description': 'Echoes your message', 'description_localizations': None, 'guild_id': '1444194038084403345', 'options': [{'type': 3, 'name': 'message', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2025-11-28 23:20:00] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
